city,nb_proprietes,prix_moyen_reel,prix_median_reel,prix_moyen_prediction,erreur_moyenne_abs,erreur_pct_moyen,biais_moyen
ALGONA,48,400885.98,402711.5,608635.38,213069.69,65.71,207749.4
AUBURN,50,441873.68,425573.0,623197.84,192896.36,52.16,181324.16
BEAUX ARTS,46,1392075.93,1331529.0,1389166.57,317406.11,24.73,-2909.37
BELLEVUE,41,1155198.0,1128979.0,1119665.15,281805.24,27.3,-35532.85
BLACK DIAMOND,54,429211.98,431763.0,751529.83,322317.85,87.27,322317.85
BOTHELL,42,663425.02,663939.0,827852.98,191996.57,34.78,164427.95
BURIEN,53,514417.91,515044.0,778517.32,264099.42,59.59,264099.42
CARNATION,43,596227.33,578703.0,805086.67,230272.47,50.11,208859.35
CLYDE HILL,49,2294559.9,2219831.0,2246932.31,558900.98,26.94,-47627.59
COVINGTON,43,485164.42,463190.0,721931.56,250218.95,64.6,236767.14
DES MOINES,56,535089.61,504102.5,767202.89,241411.29,55.38,232113.29
DUVALL,53,609222.75,582432.0,814246.57,223774.15,47.6,205023.81
ENUMCLAW,58,437167.0,447561.0,684051.72,249858.03,69.37,246884.72
FEDERAL WAY,45,446566.51,453658.0,690346.4,243779.89,62.99,243779.89
HUNTS POINT,62,2657144.27,2531279.5,2784663.6,601941.61,25.88,127519.32
ISSAQUAH,52,811580.52,799828.0,840652.5,197503.29,27.46,29071.98
KENMORE,51,710784.98,708649.0,812236.39,160618.43,27.12,101451.41
KENT,42,497244.07,463475.5,727706.17,246431.52,62.33,230462.1
KING COUNTY,66,539832.5,529303.5,773804.91,269319.44,75.08,233972.41
KIRKLAND,47,782766.55,757459.0,877496.91,219948.4,36.87,94730.36
LAKE FOREST PARK,40,741400.35,732645.0,840278.3,164793.25,26.23,98877.95
MAPLE VALLEY,50,517956.3,525565.0,782112.2,267993.86,62.32,264155.9
MEDINA,51,3159799.88,3143391.0,3188904.69,668124.1,24.68,29104.8
MERCER ISLAND,40,1955171.7,1934833.0,2031048.35,422561.25,25.16,75876.65
MILTON,48,433076.1,419438.5,610508.33,183106.52,50.38,177432.23
NEWCASTLE,30,808037.37,802354.5,891014.93,226278.1,36.22,82977.57
NORMANDY PARK,51,958664.98,955949.0,980633.24,178634.92,20.31,21968.25
NORTH BEND,58,644327.59,644211.0,836318.53,226289.6,42.57,191990.95
PACIFIC,38,411355.08,402499.5,616911.58,209267.82,58.77,205556.5
REDMOND,49,919154.9,892837.0,861160.84,234989.45,26.38,-57994.06
RENTON,49,615774.92,614369.0,813916.2,207218.59,41.46,198141.29
SAMMAMISH,39,1203281.62,1212490.0,1146196.31,237833.46,20.66,-57085.31
SEA-TAC,49,491175.49,500059.0,658643.2,188546.12,51.32,167467.71
SEATTLE,47,724862.49,648949.0,797610.87,294555.87,69.92,72748.38
SHORELINE,52,677018.6,673189.5,814456.04,197150.98,35.14,137437.44
SKYKOMISH,45,366884.47,358070.0,507404.4,162566.38,54.04,140519.93
SNOQUALMIE,53,691751.11,661844.0,823103.45,182201.09,30.94,131352.34
SeaTac,56,525756.52,543562.0,754127.68,235384.59,56.87,228371.16
TUKWILA,39,442365.79,447320.0,691875.49,249509.69,70.09,249509.69
WOODINVILLE,66,813531.91,792301.5,857456.77,173590.38,23.09,43924.86
YARROW POINT,49,2514158.49,2429846.0,2485737.39,589909.92,25.21,-28421.1
