id,sale_date,sale_price,sale_nbr,sale_warning,join_status,join_year,latitude,longitude,area,city,zoning,subdivision,present_use,land_val,imp_val,year_built,year_reno,sqft_lot,sqft,sqft_1,sqft_fbsmt,grade,fbsmt_grade,condition,stories,beds,bath_full,bath_3qtr,bath_half,garb_sqft,gara_sqft,wfnt,golf,greenbelt,noise_traffic,view_rainier,view_olympics,view_cascades,view_territorial,view_skyline,view_sound,view_lakewash,view_lakesamm,view_otherwater,view_other,submarket
0,1995-12-15,179031,2.0,   ,nochg,2024,47.7302,-122.3256,31,BLACK DIAMOND,RA2.5,FALCON RIDGE (CEDAR RIDGE),2,89320,89711,1982,0,13905,1042,1042,0,9,0,2,2.0,3,3,0,0,0,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L
1,1993-05-15,762889,4.0,   ,nochg,2024,47.3573,-121.8479,85,DUVALL,R-5,RIVERBEND TERRACE,2,406109,356780,1924,0,4723,3447,3447,0,10,0,4,2.0,4,3,1,1,0,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U
2,1992-06-15,679659,4.0,   ,nochg,2024,47.661,-122.1917,17,KIRKLAND,R-9,SUNSET HILLS,2,435314,244345,1964,0,24376,4532,4532,0,9,0,3,1.0,4,2,1,1,0,209,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Q
3,2012-01-15,516301,2.0,   ,nochg,2024,47.4733,-121.837,9,BURIEN,R-4,WILDWOOD LANE NO. 03,2,360114,156187,1934,0,19863,2254,2254,0,3,0,2,2.0,5,3,0,1,0,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
4,2019-10-15,770111,2.0,   ,nochg,2024,47.5616,-122.3724,22,KING COUNTY,R-9,MOUNTAIN VIEW,2,365648,404463,1925,0,15800,3374,3374,0,9,0,1,2.0,3,3,0,0,0,131,0,0,0,0,1,0,0,0,0,0,0,0,0,0,J
5,2020-11-15,358956,2.0,   ,nochg,2024,47.7261,-121.8244,98,SEA-TAC,R-8,RIVERBEND TERRACE,2,112786,246170,1905,0,17210,1211,1211,0,12,0,1,2.0,2,1,0,0,0,282,0,0,1,0,0,0,0,0,0,0,0,0,1,0,H
6,1992-11-15,326268,2.0,   ,nochg,2024,47.3288,-121.9856,21,AUBURN,RS 8.5,TOWN-COUNTRY CLUB BUNGALOW SITES,2,130206,196062,1980,0,21163,4918,4918,0,7,0,5,2.0,1,1,1,0,0,348,0,0,1,0,1,0,0,0,0,0,0,0,1,0,X
7,2003-09-15,561622,1.0,   ,nochg,2024,47.618,-122.1723,87,COVINGTON,R-10,CEDAR HEIGHTS,2,221747,339875,1950,0,3243,3065,3065,0,8,0,1,2.0,5,1,1,0,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E
8,2017-06-15,329411,2.0,   ,nochg,2024,47.364,-121.9924,81,AUBURN,RA2.5,CEDAR HEIGHTS,2,123053,206358,1923,0,19623,3901,3901,0,4,0,2,2.0,3,3,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,B
9,2009-12-15,588166,1.0,   ,nochg,2024,47.5357,-121.8529,80,ENUMCLAW,R-8,TOWN-COUNTRY CLUB BUNGALOW SITES,2,237231,350935,1928,0,3163,1857,1857,0,11,0,5,1.0,1,3,1,1,0,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D
10,1992-04-15,625847,1.0,   ,nochg,2024,47.5637,-122.3418,91,KING COUNTY,R-7,MOUNTAIN VIEW,2,286076,339771,1964,0,6569,2776,2776,0,10,0,5,2.0,5,3,1,1,0,253,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Y
11,2010-11-15,1357816,1.0,   ,nochg,2024,47.3934,-121.8412,11,BEAUX ARTS,RS-7200,HOLLYWOOD HILL HIGHLANDS,2,692256,665560,1902,0,3509,2648,2648,0,8,0,4,2.0,4,1,0,1,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L
12,2021-07-15,982633,4.0,   ,nochg,2024,47.3227,-122.1867,2,NEWCASTLE,R-10,RIVERBEND TERRACE,2,664695,317938,1908,0,13592,1348,1348,0,9,0,1,1.0,1,2,0,1,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,V
13,1997-06-15,747259,2.0,   ,nochg,2024,47.6538,-122.0171,63,WOODINVILLE,R-3,FALCON RIDGE (CEDAR RIDGE),2,227030,520229,1958,0,15730,4115,4115,0,12,0,5,2.0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,K
14,1990-09-15,552404,3.0,   ,nochg,2024,47.5442,-122.226,67,LAKE FOREST PARK,R-8,FALCON RIDGE (CEDAR RIDGE),2,323898,228506,2006,0,12942,1908,1908,0,4,0,4,1.0,1,1,1,0,0,77,0,0,0,0,1,0,0,0,0,0,0,0,1,0,S
15,2020-04-15,676623,2.0,   ,nochg,2024,47.5522,-122.0139,33,NORMANDY PARK,R-4,WILDWOOD LANE NO. 03,2,404478,272145,1990,0,16395,3686,3686,0,5,0,4,1.0,3,3,1,0,0,364,0,0,1,0,1,0,0,0,0,0,0,0,1,0,T
16,1991-01-15,544706,2.0,   ,nochg,2024,47.4286,-121.9584,59,RENTON,RS-7200,FOREST GLEN,2,376267,168439,1966,0,21924,2788,2788,0,4,0,3,1.0,3,2,0,1,0,370,0,0,1,0,0,0,0,0,0,0,0,0,1,0,I
17,2010-11-15,1656993,3.0,   ,nochg,2024,47.6608,-121.8781,92,MERCER ISLAND,R-3,PINE VIEW ESTATES,2,569554,1087439,1968,0,11832,4120,4120,0,5,0,3,2.0,1,1,1,0,0,294,0,0,0,0,1,0,0,0,0,0,0,0,0,0,V
18,2018-04-15,369048,4.0,   ,nochg,2024,47.6572,-121.881,43,MAPLE VALLEY,RS 8.5,MOUNTAIN VIEW,2,137834,231214,1906,0,10081,3765,3765,0,5,0,3,2.0,4,2,0,0,0,441,0,0,1,0,0,0,0,0,0,0,0,0,0,0,P
19,1995-12-15,566841,3.0,   ,nochg,2024,47.3292,-122.0147,82,BOTHELL,RS7.2,HIGHLAND PARK,2,272385,294456,1972,0,2124,4810,4810,0,4,0,2,2.0,3,1,0,1,0,376,0,0,0,0,1,0,0,0,0,0,0,0,1,0,S
20,2014-05-15,350029,2.0,   ,nochg,2024,47.3232,-121.8172,12,MILTON,RS7.2,GREEN VALLEY,2,192933,157096,1967,0,4256,3949,3949,0,3,0,3,1.0,5,1,1,1,0,485,0,0,1,0,1,0,0,0,0,0,0,0,1,0,T
21,1992-09-15,1559765,2.0,   ,nochg,2024,47.361,-122.0603,26,YARROW POINT,R-6,GREEN VALLEY,2,929484,630281,1957,0,5657,2449,2449,0,4,0,3,2.0,3,2,0,0,0,482,0,0,1,0,1,0,0,0,0,0,0,0,0,0,X
22,2021-07-15,587579,3.0,   ,nochg,2024,47.6593,-122.0894,42,MAPLE VALLEY,R-3,ALDERWOOD SOUTH DIV NO. 02,2,184006,403573,1985,0,24110,1391,1391,0,10,0,2,1.0,4,2,1,1,0,511,0,0,1,0,1,0,0,0,0,0,0,0,1,0,D
23,2001-04-15,760269,3.0,   ,nochg,2024,47.7716,-122.3864,66,SEATTLE,R-10,OAKWOOD MANOR,2,406218,354051,1967,0,25799,3309,3309,0,7,0,1,1.0,5,2,0,1,0,200,0,0,1,0,0,0,0,0,0,0,0,0,1,0,B
24,1998-07-15,354966,3.0,   ,nochg,2024,47.5187,-121.807,38,ENUMCLAW,RS-7200,ALDERWOOD SOUTH DIV NO. 02,2,116436,238530,2003,0,6902,1298,1298,0,9,0,4,2.0,4,1,1,1,0,136,0,0,0,0,1,0,0,0,0,0,0,0,0,0,I
25,2009-09-15,379966,3.0,   ,nochg,2024,47.6113,-122.1419,20,PACIFIC,R-1,MAPLE GROVE,2,203359,176607,1987,0,14365,4803,4803,0,7,0,4,2.0,2,3,0,1,0,535,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Q
26,2011-09-15,812031,4.0,   ,nochg,2024,47.5167,-121.8861,5,SNOQUALMIE,R-3,OLYMPIC VUE ESTATES,2,389108,422923,1964,0,22882,3833,3833,0,11,0,1,1.0,3,2,1,0,0,153,0,0,1,0,0,0,0,0,0,0,0,0,0,0,L
27,1992-07-15,776227,1.0,   ,nochg,2024,47.4124,-121.9462,35,DUVALL,RS7.2,SUNSET HILLS,2,281070,495157,1975,0,9192,1329,1329,0,10,0,3,2.0,4,1,0,1,0,119,0,0,1,0,1,0,0,0,0,0,0,0,0,0,P
28,2021-04-15,377242,3.0,   ,nochg,2024,47.5142,-122.3885,30,ENUMCLAW,RS-7200,HIGHLAND PARK,2,230280,146962,1949,0,22259,4161,4161,0,11,0,5,2.0,3,3,0,1,0,187,0,0,1,0,0,0,0,0,0,0,0,0,0,0,L
29,2021-08-15,544245,4.0,   ,nochg,2024,47.4845,-121.8705,83,BURIEN,RA2.5,HOLLYWOOD HILL HIGHLANDS,2,319842,224403,1933,0,5243,2585,2585,0,5,0,4,2.0,1,1,0,0,0,462,0,0,0,0,1,0,0,0,0,0,0,0,1,0,X
30,2010-02-15,880693,1.0,   ,nochg,2024,47.6473,-122.0671,3,SNOQUALMIE,RS 8.5,CEDAR HEIGHTS,2,325621,555072,2011,0,5556,2259,2259,0,7,0,2,1.0,5,3,0,1,0,343,0,0,0,0,0,0,0,0,0,0,0,0,1,0,C
31,2010-01-15,287712,4.0,   ,nochg,2024,47.4638,-121.9207,17,ENUMCLAW,R-4,OLYMPIC VUE ESTATES,2,168285,119427,1964,0,25208,3664,3664,0,3,0,5,2.0,5,2,0,0,0,41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D
32,1994-02-15,400575,4.0,   ,nochg,2024,47.3609,-122.1907,61,PACIFIC,RS7.2,CEDAR HEIGHTS,2,227489,173086,1933,0,22160,3834,3834,0,6,0,2,2.0,2,2,0,1,0,124,0,0,0,0,0,0,0,0,0,0,0,0,1,0,D
33,2011-11-15,439929,3.0,   ,nochg,2024,47.7098,-122.3063,44,BLACK DIAMOND,R-9,MOUNTAIN VIEW,2,302992,136937,1955,0,7267,1254,1254,0,3,0,3,1.0,3,3,1,1,0,222,0,0,1,0,1,0,0,0,0,0,0,0,0,0,N
34,2006-11-15,647424,3.0,   ,nochg,2024,47.6582,-122.1311,40,SNOQUALMIE,RS-7200,HIGHLAND PARK,2,413433,233991,1940,0,4730,2371,2371,0,3,0,3,2.0,4,1,1,1,0,599,0,0,1,0,0,0,0,0,0,0,0,0,0,0,M
35,1999-08-15,1980914,4.0,   ,nochg,2024,47.3992,-122.1213,43,YARROW POINT,R-4,TOWN-COUNTRY CLUB BUNGALOW SITES,2,879051,1101863,1922,0,8236,4689,4689,0,4,0,2,1.0,3,2,0,0,0,215,0,0,0,0,1,0,0,0,0,0,0,0,1,0,N
36,2004-03-15,588202,2.0,   ,nochg,2024,47.441,-122.3057,46,MAPLE VALLEY,R-6,BAYVIEW HEIGHTS,2,317247,270955,1938,0,6740,1418,1418,0,5,0,1,2.0,2,2,1,1,0,451,0,0,1,0,0,0,0,0,0,0,0,0,1,0,G
37,2015-05-15,1431222,4.0,   ,nochg,2024,47.613,-122.1193,63,BELLEVUE,R-6,RIVERBEND TERRACE,2,731358,699864,1942,0,10380,1412,1412,0,12,0,4,2.0,1,1,1,0,0,470,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Y
38,1991-08-15,1004884,3.0,   ,nochg,2024,47.6818,-121.9716,10,KENMORE,R-7,BAYVIEW HEIGHTS,2,535601,469283,2015,0,10853,4776,4776,0,10,0,2,1.0,1,3,1,1,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O
39,1996-11-15,1891199,2.0,   ,nochg,2024,47.7637,-121.8788,14,BEAUX ARTS,R-5,MOUNTAIN VIEW,2,778772,1112427,1962,0,15608,1003,1003,0,12,0,3,1.0,3,2,1,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,1,0,H
40,2005-05-15,1179806,2.0,   ,nochg,2024,47.6389,-122.3669,34,SAMMAMISH,R-2,SUNSET HILLS,2,365791,814015,1900,0,29554,1811,1811,0,6,0,5,1.0,3,1,1,0,0,235,0,0,1,0,1,0,0,0,0,0,0,0,0,0,W
41,1997-04-15,1164742,2.0,   ,nochg,2024,47.5642,-122.2035,93,ISSAQUAH,RS7.2,WILDWOOD LANE NO. 03,2,662006,502736,1987,0,9487,3122,3122,0,8,0,2,2.0,4,2,1,1,0,168,0,0,0,0,1,0,0,0,0,0,0,0,0,0,A
42,2012-04-15,455660,3.0,   ,nochg,2024,47.7691,-122.1607,41,SHORELINE,R-3,HOLLYWOOD HILL HIGHLANDS,2,225143,230517,1935,0,23720,4324,4324,0,4,0,2,1.0,4,3,1,0,0,467,0,0,1,0,0,0,0,0,0,0,0,0,1,0,L
43,2016-12-15,636291,1.0,   ,nochg,2024,47.5578,-122.3896,3,NORTH BEND,R-8,SUMMIT RIDGE,2,355592,280699,1955,0,3492,3987,3987,0,11,0,2,2.0,5,1,1,1,0,94,0,0,1,0,0,0,0,0,0,0,0,0,1,0,L
44,1993-06-15,662671,3.0,   ,nochg,2024,47.6576,-122.1687,21,KIRKLAND,R-2,LAKEFRONT VILLAGE,2,314538,348133,1906,0,10241,840,840,0,7,0,3,1.0,4,2,1,0,0,274,0,0,0,0,1,0,0,0,0,0,0,0,0,0,F
45,2001-05-15,3215367,2.0,   ,nochg,2024,47.4803,-121.8993,27,MEDINA,R-9,GREEN VALLEY,2,1581824,1633543,1915,0,12551,1358,1358,0,9,0,4,2.0,5,2,1,1,0,67,0,0,1,0,1,0,0,0,0,0,0,0,0,0,K
46,2000-09-15,214071,4.0,   ,nochg,2024,47.6195,-122.2147,45,MILTON,R-6,MAPLE GROVE,2,77390,136681,1935,0,14296,2589,2589,0,5,0,1,1.0,3,3,1,0,0,409,0,0,1,0,1,0,0,0,0,0,0,0,1,0,M
47,2016-09-15,475703,4.0,   ,nochg,2024,47.5332,-121.8309,57,KENT,R-8,MAPLE GROVE,2,207497,268206,1997,0,12308,2954,2954,0,9,0,2,2.0,4,3,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,F
48,1992-08-15,512041,3.0,   ,nochg,2024,47.7373,-122.1425,94,BOTHELL,R-1,MEADOWBROOK,2,349614,162427,1948,0,15924,2318,2318,0,3,0,2,1.0,4,1,0,1,0,268,0,0,1,0,0,0,0,0,0,0,0,0,0,0,T
49,1990-05-15,234501,3.0,   ,nochg,2024,47.5924,-122.0177,44,SKYKOMISH,R-8,FOREST GLEN,2,146387,88114,1924,0,22083,3268,3268,0,5,0,5,1.0,5,3,1,1,0,373,0,0,1,0,1,0,0,0,0,0,0,0,1,0,H
50,1998-09-15,306326,4.0,   ,nochg,2024,47.432,-122.1293,20,BURIEN,R-7,WILDWOOD LANE NO. 03,2,150514,155812,1953,0,14995,4265,4265,0,3,0,5,1.0,2,1,1,1,0,279,0,0,0,0,1,0,0,0,0,0,0,0,1,0,F
51,2021-06-15,684714,2.0,   ,nochg,2024,47.4782,-122.3347,65,ISSAQUAH,R-7,CEDAR HEIGHTS,2,401379,283335,1985,0,7493,3422,3422,0,12,0,3,1.0,5,2,0,0,0,153,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Y
52,1998-03-15,637972,2.0,   ,nochg,2024,47.6107,-121.9349,62,KENMORE,R-9,MOUNTAIN VIEW,2,341167,296805,1936,0,9581,3033,3033,0,6,0,3,2.0,1,1,0,0,0,323,0,0,0,0,1,0,0,0,0,0,0,0,0,0,H
53,2013-08-15,888163,1.0,   ,nochg,2024,47.4059,-122.0505,2,KENMORE,RS 8.5,OLYMPIC VUE ESTATES,2,584583,303580,1995,0,19306,1956,1956,0,11,0,5,2.0,2,3,1,1,0,206,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Y
54,2003-11-15,590075,3.0,   ,nochg,2024,47.4186,-121.8525,81,WOODINVILLE,RS-7200,SUNSET HILLS,2,289777,300298,1960,0,12804,4716,4716,0,11,0,1,1.0,3,3,1,0,0,163,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Y
55,2002-08-15,631945,2.0,   ,nochg,2024,47.4772,-122.0759,71,NORTH BEND,RS 8.5,OLYMPIC VUE ESTATES,2,401336,230609,1991,0,13700,1981,1981,0,8,0,3,2.0,4,2,1,0,0,261,0,0,1,0,1,0,0,0,0,0,0,0,1,0,T
56,1992-08-15,1392875,2.0,   ,nochg,2024,47.5883,-122.1701,3,BELLEVUE,R-3,BAYVIEW HEIGHTS,2,566791,826084,1967,0,18667,1965,1965,0,10,0,5,1.0,3,1,1,1,0,440,0,0,1,0,1,0,0,0,0,0,0,0,0,0,G
57,2013-05-15,1110719,2.0,   ,nochg,2024,47.5939,-122.1447,13,BELLEVUE,RS-7200,BAYVIEW HEIGHTS,2,519632,591087,2012,0,3335,3129,3129,0,3,0,2,1.0,3,1,1,0,0,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,C
58,2003-04-15,2527846,2.0,   ,nochg,2024,47.6772,-121.9653,47,MERCER ISLAND,RS-7200,MOUNTAIN VIEW,2,790929,1736917,1963,0,11240,4954,4954,0,12,0,1,1.0,4,1,0,1,0,423,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D
59,2002-08-15,514324,3.0,   ,nochg,2024,47.3366,-122.247,11,BOTHELL,RA2.5,MEADOWBROOK,2,227730,286594,1922,0,21878,1152,1152,0,5,0,2,1.0,2,2,1,0,0,203,0,0,0,0,1,0,0,0,0,0,0,0,0,0,M
60,2019-08-15,569758,3.0,   ,nochg,2024,47.7053,-122.0418,26,ISSAQUAH,R-10,ALDERWOOD SOUTH DIV NO. 02,2,300665,269093,1952,0,12551,1363,1363,0,3,0,2,1.0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,I
61,2003-04-15,424763,1.0,   ,nochg,2024,47.4377,-121.8881,24,COVINGTON,R-7,LAKEFRONT VILLAGE,2,201906,222857,1964,0,14466,3827,3827,0,3,0,3,2.0,3,1,0,1,0,559,0,0,1,0,1,0,0,0,0,0,0,0,0,0,W
62,2011-05-15,381429,2.0,   ,nochg,2024,47.5074,-121.9304,63,MAPLE VALLEY,RS-7200,ALDERWOOD SOUTH DIV NO. 02,2,222159,159270,1988,0,12670,3809,3809,0,4,0,4,1.0,2,2,1,1,0,399,0,0,1,0,1,0,0,0,0,0,0,0,1,0,S
63,2011-05-15,385128,2.0,   ,nochg,2024,47.5539,-121.9948,21,FEDERAL WAY,RS-7200,HIGHLAND PARK,2,268971,116157,1960,0,25107,2841,2841,0,6,0,5,2.0,4,1,1,1,0,133,0,0,0,0,0,0,0,0,0,0,0,0,1,0,U
64,2018-04-15,608057,4.0,   ,nochg,2024,47.7964,-122.0162,24,DUVALL,R-3,GREEN VALLEY,2,418332,189725,1936,0,5797,4628,4628,0,9,0,1,2.0,1,3,0,0,0,560,0,0,0,0,1,0,0,0,0,0,0,0,0,0,R
65,2014-06-15,1531271,4.0,   ,nochg,2024,47.7818,-122.344,46,MERCER ISLAND,R-9,MOUNTAIN VIEW,2,921013,610258,2007,0,12519,3780,3780,0,4,0,2,2.0,3,1,0,1,0,172,0,0,1,0,0,0,0,0,0,0,0,0,1,0,X
66,2004-07-15,1701507,1.0,   ,nochg,2024,47.3473,-121.9054,33,YARROW POINT,R-8,RIVERBEND TERRACE,2,664797,1036710,2008,0,11419,3406,3406,0,3,0,1,1.0,4,1,0,0,0,165,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N
67,2012-02-15,473889,1.0,   ,nochg,2024,47.6776,-122.3543,9,NORTH BEND,R-5,TOWN-COUNTRY CLUB BUNGALOW SITES,2,294295,179594,1951,0,16118,3561,3561,0,3,0,2,1.0,5,2,1,1,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
68,2009-05-15,657984,3.0,   ,nochg,2024,47.5208,-122.2272,29,RENTON,R-8,ALDERWOOD SOUTH DIV NO. 02,2,315760,342224,1978,0,6525,2295,2295,0,9,0,5,2.0,4,3,0,1,0,549,0,0,1,0,1,0,0,0,0,0,0,0,1,0,M
69,1998-09-15,810984,3.0,   ,nochg,2024,47.3682,-121.9088,87,NORMANDY PARK,R-5,MOUNTAIN VIEW,2,538203,272781,1981,0,22386,1791,1791,0,5,0,4,2.0,4,1,0,0,0,42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N
70,2008-02-15,678234,1.0,   ,nochg,2024,47.5682,-122.0157,29,WOODINVILLE,R-10,LAKEFRONT VILLAGE,2,395053,283181,1969,0,4528,4719,4719,0,4,0,2,2.0,3,3,1,0,0,382,0,0,1,0,0,0,0,0,0,0,0,0,0,0,H
71,2019-05-15,756976,1.0,   ,nochg,2024,47.7889,-121.8701,19,BURIEN,R-6,BAYVIEW HEIGHTS,2,470537,286439,2021,0,12996,4744,4744,0,10,0,5,1.0,1,3,1,1,0,436,0,0,0,0,1,0,0,0,0,0,0,0,1,0,H
